Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.060529e+00,-1.041090e+00
-1.059784e+00,-1.039632e+00
-1.062732e+00,-1.040118e+00
-1.058942e+00,-1.038433e+00
-1.062765e+00,-1.040150e+00
-1.058423e+00,-1.038012e+00
-1.057710e+00,-1.037299e+00
-1.065875e+00,-1.043325e+00
-1.051587e+00,-1.035646e+00
-1.066750e+00,-1.042969e+00
-1.053110e+00,-1.036132e+00
-1.063996e+00,-1.039275e+00
-1.064871e+00,-1.042904e+00
-1.051166e+00,-1.034998e+00
-1.065486e+00,-1.041154e+00
-1.053336e+00,-1.035841e+00
-1.058423e+00,-1.036132e+00
-1.067430e+00,-1.044653e+00
-1.050939e+00,-1.035646e+00
-1.061339e+00,-1.037850e+00
-1.064935e+00,-1.041478e+00
-1.049222e+00,-1.032471e+00
-1.062635e+00,-1.038303e+00
-1.058812e+00,-1.038530e+00
-1.061177e+00,-1.039988e+00
-1.058196e+00,-1.039632e+00
-1.051652e+00,-1.034415e+00
-1.064903e+00,-1.040344e+00
-1.064093e+00,-1.042807e+00
-1.059849e+00,-1.039826e+00
-1.058812e+00,-1.039470e+00
-1.056026e+00,-1.037331e+00
-1.059460e+00,-1.038886e+00
-1.061890e+00,-1.039632e+00
-1.062376e+00,-1.040733e+00
-1.060756e+00,-1.039405e+00
-1.056414e+00,-1.036456e+00
-1.057743e+00,-1.038530e+00
-1.060173e+00,-1.038984e+00
-1.061048e+00,-1.040215e+00
-1.059168e+00,-1.039048e+00
-1.059168e+00,-1.039243e+00
-1.060724e+00,-1.038141e+00
-1.060626e+00,-1.038368e+00
-1.060011e+00,-1.039988e+00
-1.059363e+00,-1.038562e+00
-1.060108e+00,-1.038368e+00
-1.062052e+00,-1.039372e+00
-1.062700e+00,-1.040928e+00
-1.061631e+00,-1.040150e+00
-1.061987e+00,-1.041446e+00
-1.063380e+00,-1.041900e+00
-1.057905e+00,-1.039891e+00
-1.061404e+00,-1.039567e+00
-1.056641e+00,-1.037104e+00
-1.059557e+00,-1.038206e+00
-1.060238e+00,-1.038012e+00
-1.058682e+00,-1.037169e+00
-1.059654e+00,-1.036748e+00
-1.055345e+00,-1.035970e+00
-1.058391e+00,-1.036651e+00
-1.059881e+00,-1.037137e+00
-1.060983e+00,-1.040280e+00
-1.059006e+00,-1.038336e+00
-1.061177e+00,-1.039048e+00
-1.058488e+00,-1.037752e+00
-1.056479e+00,-1.037655e+00
-1.059136e+00,-1.038368e+00
-1.065292e+00,-1.042386e+00
-1.064709e+00,-1.043293e+00
-1.054535e+00,-1.037234e+00
-1.050939e+00,-1.034804e+00
-1.064968e+00,-1.041025e+00
-1.067430e+00,-1.046371e+00
-1.057710e+00,-1.038951e+00
-1.050712e+00,-1.033443e+00
-1.067430e+00,-1.044038e+00
-1.063769e+00,-1.043196e+00
-1.049546e+00,-1.035096e+00
-1.061145e+00,-1.039761e+00
-1.067430e+00,-1.045075e+00
-1.053952e+00,-1.036359e+00
-1.058812e+00,-1.037979e+00
-1.067430e+00,-1.042710e+00
-1.053498e+00,-1.035193e+00
-1.059654e+00,-1.037947e+00
-1.065389e+00,-1.042029e+00
-1.058520e+00,-1.038919e+00
-1.059201e+00,-1.038368e+00
-1.063186e+00,-1.040571e+00
-1.058196e+00,-1.037364e+00
-1.059428e+00,-1.039210e+00
-1.060724e+00,-1.039048e+00
-1.062505e+00,-1.040798e+00
-1.058812e+00,-1.038886e+00
-1.063380e+00,-1.041057e+00
-1.059136e+00,-1.037817e+00
-1.063704e+00,-1.041802e+00
-1.060140e+00,-1.039405e+00
-1.063542e+00,-1.041252e+00
-1.057678e+00,-1.037234e+00
-1.063866e+00,-1.042159e+00
-1.055928e+00,-1.036489e+00
-1.062635e+00,-1.039632e+00
-1.060464e+00,-1.038724e+00
-1.060432e+00,-1.038174e+00
-1.058877e+00,-1.037850e+00
-1.057905e+00,-1.036716e+00
-1.061566e+00,-1.038141e+00
-1.060076e+00,-1.039081e+00
-1.062246e+00,-1.040312e+00
-1.060691e+00,-1.040280e+00
-1.058974e+00,-1.038692e+00
-1.059752e+00,-1.039761e+00
-1.060788e+00,-1.038789e+00
-1.057581e+00,-1.036586e+00
-1.062441e+00,-1.040118e+00
-1.061112e+00,-1.040085e+00
-1.056544e+00,-1.036878e+00
-1.059039e+00,-1.038109e+00
-1.059881e+00,-1.039016e+00
-1.058747e+00,-1.036651e+00
-1.060497e+00,-1.037428e+00
-1.062894e+00,-1.040798e+00
-1.061922e+00,-1.041705e+00
-1.054600e+00,-1.036780e+00
-1.058877e+00,-1.036651e+00
-1.065454e+00,-1.040344e+00
-1.065227e+00,-1.043487e+00
