Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-9.296685e-01,-9.100021e-01
-8.969128e-01,-8.842447e-01
-8.770197e-01,-8.692439e-01
-8.902710e-01,-8.741362e-01
-9.388375e-01,-9.065030e-01
-9.844880e-01,-9.424014e-01
-9.831597e-01,-9.468077e-01
-9.306081e-01,-9.166116e-01
-8.833375e-01,-8.829164e-01
-9.141816e-01,-8.961353e-01
-1.002146e+00,-9.514084e-01
-9.991001e-01,-9.568515e-01
-8.747841e-01,-8.820416e-01
-8.187010e-01,-8.363586e-01
-9.680292e-01,-9.218279e-01
-1.067430e+00,-1.005483e+00
-9.102937e-01,-9.099697e-01
-7.604147e-01,-8.108928e-01
-9.793042e-01,-9.258130e-01
-1.067430e+00,-1.014522e+00
-8.362290e-01,-8.692763e-01
-8.146511e-01,-8.421905e-01
-1.067430e+00,-9.876632e-01
-9.215687e-01,-9.095486e-01
-8.240145e-01,-8.538866e-01
-1.065130e+00,-9.778138e-01
-8.859295e-01,-8.904006e-01
-8.866747e-01,-8.883270e-01
-1.048120e+00,-9.677700e-01
-8.222973e-01,-8.576449e-01
-9.998129e-01,-9.454793e-01
-9.366343e-01,-9.105529e-01
-8.735530e-01,-8.844067e-01
-1.023724e+00,-9.530284e-01
-8.493831e-01,-8.733262e-01
-9.969294e-01,-9.400687e-01
-9.004444e-01,-8.946449e-01
-9.522832e-01,-9.199163e-01
-9.261370e-01,-9.089006e-01
-9.501448e-01,-9.162552e-01
-9.046239e-01,-9.003796e-01
-9.826413e-01,-9.295389e-01
-8.730022e-01,-8.875819e-01
-1.004997e+00,-9.382219e-01
-8.754969e-01,-8.942237e-01
-9.650809e-01,-9.131449e-01
-9.508252e-01,-9.331028e-01
-8.693087e-01,-8.663279e-01
-1.044815e+00,-9.738611e-01
-8.073613e-01,-8.503227e-01
-1.056674e+00,-9.624241e-01
-8.726134e-01,-9.011571e-01
-9.016107e-01,-8.730346e-01
-1.066782e+00,-9.897367e-01
-7.703937e-01,-8.383350e-01
-1.046241e+00,-9.423042e-01
-9.495616e-01,-9.476825e-01
-8.190574e-01,-8.439400e-01
-1.043746e+00,-9.535468e-01
-9.310293e-01,-9.292149e-01
-8.661659e-01,-8.759181e-01
-9.479417e-01,-9.014811e-01
-1.020451e+00,-9.640117e-01
-8.744925e-01,-9.007036e-01
-8.629584e-01,-8.569645e-01
-1.028324e+00,-9.430494e-01
-9.937866e-01,-9.661825e-01
-8.203210e-01,-8.656475e-01
-9.147648e-01,-8.742010e-01
-1.015689e+00,-9.461597e-01
-9.601238e-01,-9.414942e-01
-9.179400e-01,-9.177780e-01
-8.718682e-01,-8.754969e-01
-9.306081e-01,-8.914374e-01
-9.769714e-01,-9.290529e-01
-9.629101e-01,-9.347228e-01
-9.615818e-01,-9.382543e-01
-9.039111e-01,-9.085118e-01
-8.698595e-01,-8.654856e-01
-1.033022e+00,-9.548751e-01
-8.616300e-01,-8.930573e-01
-8.129015e-01,-8.138735e-01
-1.067430e+00,-1.002437e+00
-8.769225e-01,-9.193007e-01
-8.549558e-01,-8.537570e-01
-1.041673e+00,-9.544539e-01
-9.789802e-01,-9.515704e-01
-1.018151e+00,-9.816045e-01
-9.162876e-01,-9.332972e-01
-8.896878e-01,-8.932517e-01
-9.412998e-01,-9.055310e-01
-9.944670e-01,-9.406842e-01
-1.014749e+00,-9.681912e-01
-1.033573e+00,-9.924259e-01
-1.022233e+00,-9.993917e-01
-9.664741e-01,-9.710424e-01
-9.186527e-01,-9.302841e-01
-8.792228e-01,-8.863507e-01
-8.652912e-01,-8.583901e-01
-8.650320e-01,-8.456572e-01
-8.772789e-01,-8.454952e-01
-8.818796e-01,-8.499987e-01
-8.798060e-01,-8.507763e-01
-8.788988e-01,-8.512623e-01
-8.791904e-01,-8.522991e-01
-8.803244e-01,-8.544050e-01
-8.739418e-01,-8.531414e-01
-8.908542e-01,-8.654208e-01
-8.989216e-01,-8.747517e-01
-9.050451e-01,-8.829812e-01
-9.179076e-01,-8.942561e-01
-9.476501e-01,-9.195923e-01
-9.956658e-01,-9.553287e-01
